,cifar100_200,cifar100_400,stl10_40,stl10_100,eurosat_20,eurosat_40,tissuemnist_80,tissuemnist_400,semi_aves_3959
fullysupervised,8.3±0.08,8.3±0.08,44.55±18.72,10.87±0.49,0.94±0.03,0.9±0.08,28.98±0.13,28.96±0.17,41.2±0.17
supervised,35.88±0.36,26.76±0.83,19.0±2.9,10.87±0.49,26.49±1.6,16.12±1.35,60.36±3.83,54.08±1.55,41.2±0.17
pseudolabel,33.99±0.95,25.32±0.29,19.14±1.3,10.77±0.6,25.46±1.36,15.7±2.12,56.92±4.54,50.86±1.79,40.35±0.3
meanteacher,35.47±0.4,26.03±0.3,18.67±1.69,24.19±10.15,26.83±1.46,15.85±1.66,62.06±3.43,55.12±2.53,38.55±0.21
pimodel,36.06±0.15,26.52±0.41,42.76±15.94,19.85±13.02,21.82±1.22,12.09±2.27,55.94±5.67,47.05±1.21,39.47±0.15
vat,31.49±1.33,21.34±0.5,18.45±1.47,10.69±0.51,26.16±0.96,10.09±0.94,57.49±5.47,51.3±1.73,38.82±0.04
mixmatch,38.22±0.71,26.72±0.72,58.77±1.98,36.74±1.24,24.85±4.85,17.28±2.67,55.53±1.51,49.64±2.28,37.25±0.08
remixmatch,22.21±2.21,16.86±0.57,13.08±3.34,7.21±0.39,5.05±1.05,5.07±0.56,58.77±4.43,49.82±1.18,30.2±0.03
adamatch,22.32±1.73,16.66±0.62,13.64±2.49,7.62±1.9,7.02±0.79,4.75±1.1,58.35±4.87,52.4±2.08,31.75±0.13
uda,28.8±0.61,19.0±0.79,15.58±3.16,7.65±1.11,9.83±2.15,6.22±1.36,55.56±2.63,52.1±1.84,31.85±0.11
fixmatch,29.6±0.9,19.56±0.52,16.15±1.89,8.11±0.68,13.44±3.53,5.91±2.02,55.37±4.5,51.24±1.56,31.9±0.06
flexmatch,26.76±1.12,18.24±0.36,14.4±3.11,8.17±0.78,5.17±0.57,5.58±0.81,58.36±3.8,51.89±3.21,32.48±0.15
dash,30.61±0.98,19.38±0.1,16.22±5.95,7.85±0.74,11.19±0.9,6.96±0.87,56.98±2.93,51.97±1.55,32.38±0.16
crmatch,25.7±1.75,18.03±0.2,10.17±0.0,None,13.24±1.69,8.35±1.71,54.33±2.83,51.02±1.28,32.15±0.17
comatch,35.08±0.69,25.35±0.5,15.12±1.88,9.56±1.35,5.75±0.43,4.81±1.05,59.04±4.9,52.92±1.04,38.65±0.18
simmatch,23.78±1.08,17.06±0.78,11.77±3.2,7.55±1.86,7.66±0.6,5.27±0.89,60.88±4.31,52.93±1.56,33.85±0.08
freematch,21.4±0.3,15.65±0.26,12.73±3.22,8.52±0.53,6.5±0.78,5.78±0.51,58.24±3.08,52.19±1.35,32.85±0.31
softmatch,22.67±1.32,16.84±0.66,13.55±3.16,7.84±1.72,5.75±0.62,5.9±1.42,57.98±3.66,51.73±2.84,31.8±0.22
defixmatch,31.52±1.85,21.12±1.74,17.68±7.94,7.94±1.31,14.71±6.52,3.72±0.79,54.07±6.19,48.95±1.14,32.01±0.26
